name,target,mae,mse,nrmse,r2,acc,auc,recall,precision,specificity,f1
BAScores_ba_delta_pairwise_ISTAGING2_new_Adadelta_resnet18,1.0208,2.7274,0.4273,0.7967
BAScores_ba_delta_pairwise_plusmeta_ISTAGING2_new_Adadelta_resnet18,1.0275,2.9016,0.4408,0.7837
BAScores_brain_age_ISTAGING2_new_healthy_only_Adadelta_resnet18,2.7252,12.2309,0.0539,0.8832,,,,,,,
BAScores_brain_age_ISTAGING2_healthy_only_Adadelta_resnet18,Age,2.9274,14.1381,0.0578,0.8586,,,,,,,
BAScores_brain_age_ISTAGING2_healthy_only_AdamW_resnet18,Age,3.0825,15.6279,0.0608,0.8437,,,,,,,
BAScores_brain_age_SPARE-BA-Harmonized_AdamW_highl2_resnet18,Age,3.1423,16.7577,0.0696,0.9195,,,,,,,
BAScores_brain_age_SPARE-BA-Harmonized_AdamW_highl2_resnet18-cbam,Age,3.7793,24.1262,0.0835,0.8841,,,,,,,
BAScores_brain_age_SPARE-BA-Harmonized_AdamW_highl2_resnet34,Age,3.5855,22.2692,0.0802,0.8930,,,,,,,
BAscores_cn_vs_ad_ISTAGING2_Adadelta_resnet18,DX_AD,,,,,0.9091,0.9091,0.9174,0.9020,0.9008,0.9096
